Timestamp,intelligence_type,mentor_attribute,mentor_rol,mentor_career,mentor_skills,session_freq,mentor_age,mentor_gender,mentee_age,mentee_gender
2021/06/16 8:42:43 am EET,Inteligencia Existencial: ¿Te intriga el sentido de la vida o saber que más hay allá en el universo?;Inteligencia Interpersonal: ¿Te gusta estar con gente e interactuar con diferentes personas?;Inteligencia Intrapersonal: ¿Reflexionas frecuentemente sobre tus emociones? ¿Te gusta planear cuidadosamente tus metas?,Calma,Ofrecer orientación;Entregar apoyo en la toma de decisiones,Tecnología de la Información (TI),Conocimientos especializados en el área seleccionada en la pregunta anterior,Dos veces al mes (15 - 30 minutos de sesión),No es relevante,No es relevante,25,Hombre
2021/06/21 5:22:07 pm EET,Inteligencia Natural: ¿Te llama la atención la naturaleza y sientes que te relaja?;Inteligencia Musical: ¿Te sientes atraído por la música y por entenderla & crearla?;Inteligencia Intrapersonal: ¿Reflexionas frecuentemente sobre tus emociones? ¿Te gusta planear cuidadosamente tus metas?,Empatía,Ofrecer orientación;Entregar apoyo en la toma de decisiones,Arte,Habilidad para enseñar,Dos veces al mes (15 - 30 minutos de sesión),23-29,No es relevante,22,Hombre
2021/06/21 7:55:01 pm EET,Inteligencia Musical: ¿Te sientes atraído por la música y por entenderla & crearla?;Inteligencia Existencial: ¿Te intriga el sentido de la vida o saber que más hay allá en el universo?;Inteligencia Interpersonal: ¿Te gusta estar con gente e interactuar con diferentes personas?,Calma,Ofrecer orientación;Motivar,Diseño,Habilidades comunicacionales,Dos veces al mes (15 - 30 minutos de sesión),30-36,No es relevante,26,Hombre
2021/06/21 8:29:38 pm EET,"Inteligencia Musical: ¿Te sientes atraído por la música y por entenderla & crearla?;Inteligencia Matemática: ¿Te llama la atención la simetría de las cosas, unir diferentes elementos o los juegos de estrategia?;Inteligencia Existencial: ¿Te intriga el sentido de la vida o saber que más hay allá en el universo?",Calma,Ayudar a resolver problemas;Motivar,Tecnología de la Información (TI),Habilidad para enseñar,Una vez al mes (sesión de 30 a 60 minutos),No es relevante,No es relevante,18,Hombre
2021/06/21 8:30:24 pm EET,Inteligencia Existencial: ¿Te intriga el sentido de la vida o saber que más hay allá en el universo?,Entusiasmo,Ofrecer orientación;Ayudar a resolver problemas,Tecnología de la Información (TI),Habilidad para enseñar,Una vez por semana (sesión de 15 a 30 minutos),23-29,No es relevante,18,Hombre
2021/06/21 8:30:51 pm EET,"Inteligencia Natural: ¿Te llama la atención la naturaleza y sientes que te relaja?;Inteligencia lingüística: ¿Te gustan los idiomas, los juegos de palabras o contar historias?;Inteligencia visual-espacial: ¿Te interesan laberintos, rompecabezas o puedes visualizar el resultado de algo antes de hacerlo?",Humildad,Ofrecer orientación;Ayudar a resolver problemas,Tecnología de la Información (TI),Habilidades técnicas,Una vez por semana (sesión de 15 a 30 minutos),23-29,Hombre,18,Hombre
2021/06/21 8:30:52 pm EET,Inteligencia corporal-kinestésica: ¿Amas los deportes o crear cosas con tus manos?,Empatía,Motivar,Tecnología de la Información (TI),Conocimientos especializados en el área seleccionada en la pregunta anterior,Una vez por semana (sesión de 15 a 30 minutos),No es relevante,No es relevante,"""18""",Hombre
2021/06/21 8:33:21 pm EET,"Inteligencia Musical: ¿Te sientes atraído por la música y por entenderla & crearla?;Inteligencia Matemática: ¿Te llama la atención la simetría de las cosas, unir diferentes elementos o los juegos de estrategia?;Inteligencia Intrapersonal: ¿Reflexionas frecuentemente sobre tus emociones? ¿Te gusta planear cuidadosamente tus metas?",Meticulosidad (Cuidado y atención que se pone en una cosa que requiere gran precisión),Entregar apoyo en la toma de decisiones;Tener disponibilidad para contestar preguntas,Ventas / Compras,Conocimientos especializados en el área seleccionada en la pregunta anterior,Una vez por semana (sesión de 15 a 30 minutos),No es relevante,No es relevante,20,Hombre
2021/06/21 8:34:27 pm EET,"Inteligencia Musical: ¿Te sientes atraído por la música y por entenderla & crearla?;Inteligencia lingüística: ¿Te gustan los idiomas, los juegos de palabras o contar historias?;Inteligencia visual-espacial: ¿Te interesan laberintos, rompecabezas o puedes visualizar el resultado de algo antes de hacerlo?",Entusiasmo,Ofrecer orientación;Ayudar a resolver problemas,Tecnología de la Información (TI),Habilidad para enseñar,Una vez por semana (sesión de 15 a 30 minutos),No es relevante,No es relevante,19,Hombre
2021/06/21 8:39:33 pm EET,Inteligencia Interpersonal: ¿Te gusta estar con gente e interactuar con diferentes personas?,Empatía,Entregar apoyo en la toma de decisiones;Ayudar a resolver problemas,Medicina,Habilidades comunicacionales,Una vez por semana (sesión de 15 a 30 minutos),23-29,No es relevante,19,Mujer
2021/06/21 8:40:42 pm EET,"Inteligencia Matemática: ¿Te llama la atención la simetría de las cosas, unir diferentes elementos o los juegos de estrategia?;Inteligencia corporal-kinestésica: ¿Amas los deportes o crear cosas con tus manos?;Inteligencia visual-espacial: ¿Te interesan laberintos, rompecabezas o puedes visualizar el resultado de algo antes de hacerlo?",Empatía,Ofrecer orientación;Tener disponibilidad para contestar preguntas,Ventas / Compras,Conocimientos especializados en el área seleccionada en la pregunta anterior,Una vez al mes (sesión de 30 a 60 minutos),37-42,No es relevante,20,Mujer
2021/06/21 8:41:16 pm EET,Inteligencia Existencial: ¿Te intriga el sentido de la vida o saber que más hay allá en el universo?;Inteligencia Interpersonal: ¿Te gusta estar con gente e interactuar con diferentes personas?;Inteligencia Intrapersonal: ¿Reflexionas frecuentemente sobre tus emociones? ¿Te gusta planear cuidadosamente tus metas?,Meticulosidad (Cuidado y atención que se pone en una cosa que requiere gran precisión),Ofrecer orientación;Tener disponibilidad para contestar preguntas,Investigación,Habilidad para enseñar,Una vez por semana (sesión de 15 a 30 minutos),No es relevante,No es relevante,21,Mujer
2021/06/21 8:44:19 pm EET,Inteligencia Natural: ¿Te llama la atención la naturaleza y sientes que te relaja?;Inteligencia Existencial: ¿Te intriga el sentido de la vida o saber que más hay allá en el universo?;Inteligencia Interpersonal: ¿Te gusta estar con gente e interactuar con diferentes personas?,Meticulosidad (Cuidado y atención que se pone en una cosa que requiere gran precisión),Ofrecer orientación;Tener disponibilidad para contestar preguntas,Psicología / Recursos Humanos,Habilidades comunicacionales,Una vez al mes (sesión de 30 a 60 minutos),23-29,No es relevante,21,Hombre
2021/06/21 8:46:39 pm EET,"Inteligencia Matemática: ¿Te llama la atención la simetría de las cosas, unir diferentes elementos o los juegos de estrategia?;Inteligencia lingüística: ¿Te gustan los idiomas, los juegos de palabras o contar historias?;Inteligencia visual-espacial: ¿Te interesan laberintos, rompecabezas o puedes visualizar el resultado de algo antes de hacerlo?",Meticulosidad (Cuidado y atención que se pone en una cosa que requiere gran precisión),Tener disponibilidad para contestar preguntas,Medicina,Habilidad para enseñar,Una vez al mes (sesión de 30 a 60 minutos),23-29,No es relevante,18,Mujer
2021/06/21 8:47:29 pm EET,Inteligencia Intrapersonal: ¿Reflexionas frecuentemente sobre tus emociones? ¿Te gusta planear cuidadosamente tus metas?,Meticulosidad (Cuidado y atención que se pone en una cosa que requiere gran precisión),Ayudar a resolver problemas;Motivar,Medicina,Conocimientos especializados en el área seleccionada en la pregunta anterior,Una vez por semana (sesión de 15 a 30 minutos),37-42,No es relevante,20,Mujer
2021/06/21 8:47:33 pm EET,"Inteligencia visual-espacial: ¿Te interesan laberintos, rompecabezas o puedes visualizar el resultado de algo antes de hacerlo?",Meticulosidad (Cuidado y atención que se pone en una cosa que requiere gran precisión),Motivar,Medicina,Habilidad para enseñar,Una vez por semana (sesión de 15 a 30 minutos),No es relevante,No es relevante,21,Mujer
2021/06/21 8:55:34 pm EET,"Inteligencia Matemática: ¿Te llama la atención la simetría de las cosas, unir diferentes elementos o los juegos de estrategia?;Inteligencia Interpersonal: ¿Te gusta estar con gente e interactuar con diferentes personas?;Inteligencia corporal-kinestésica: ¿Amas los deportes o crear cosas con tus manos?",Entusiasmo,Ofrecer orientación;Motivar,Emprendimiento / Innovación,Habilidades comunicacionales,Una vez por semana (sesión de 15 a 30 minutos),No es relevante,No es relevante,19,Hombre
2021/06/21 8:57:38 pm EET,"Inteligencia Musical: ¿Te sientes atraído por la música y por entenderla & crearla?;Inteligencia Matemática: ¿Te llama la atención la simetría de las cosas, unir diferentes elementos o los juegos de estrategia?;Inteligencia Interpersonal: ¿Te gusta estar con gente e interactuar con diferentes personas?",Empatía,Ofrecer orientación;Motivar,Psicología / Recursos Humanos,Habilidad para enseñar,Una vez por semana (sesión de 15 a 30 minutos),No es relevante,No es relevante,19,Mujer
